Fecha,Turno,Posicion,Numero
16/07/2024,Nocturna,01,959
16/07/2024,Nocturna,02,246
16/07/2024,Nocturna,03,724
16/07/2024,Nocturna,04,205
16/07/2024,Nocturna,05,164
16/07/2024,Nocturna,06,972
16/07/2024,Nocturna,07,485
16/07/2024,Nocturna,08,761
16/07/2024,Nocturna,09,861
16/07/2024,Nocturna,10,781
16/07/2024,Nocturna,11,897
16/07/2024,Nocturna,12,459
16/07/2024,Nocturna,13,960
16/07/2024,Nocturna,14,450
16/07/2024,Nocturna,15,962
16/07/2024,Nocturna,16,859
16/07/2024,Nocturna,17,474
16/07/2024,Nocturna,18,829
16/07/2024,Nocturna,19,300
16/07/2024,Nocturna,20,735
16/07/2024,Vespertina,01,936
16/07/2024,Vespertina,02,185
16/07/2024,Vespertina,03,287
16/07/2024,Vespertina,04,621
16/07/2024,Vespertina,05,460
16/07/2024,Vespertina,06,731
16/07/2024,Vespertina,07,775
16/07/2024,Vespertina,08,108
16/07/2024,Vespertina,09,166
16/07/2024,Vespertina,10,849
16/07/2024,Vespertina,11,646
16/07/2024,Vespertina,12,226
16/07/2024,Vespertina,13,296
16/07/2024,Vespertina,14,304
16/07/2024,Vespertina,15,242
16/07/2024,Vespertina,16,131
16/07/2024,Vespertina,17,751
16/07/2024,Vespertina,18,469
16/07/2024,Vespertina,19,237
16/07/2024,Vespertina,20,311
15/07/2024,Nocturna,01,134
15/07/2024,Nocturna,02,256
15/07/2024,Nocturna,03,760
15/07/2024,Nocturna,04,657
15/07/2024,Nocturna,05,263
15/07/2024,Nocturna,06,106
15/07/2024,Nocturna,07,565
15/07/2024,Nocturna,08,003
15/07/2024,Nocturna,09,593
15/07/2024,Nocturna,10,286
15/07/2024,Nocturna,11,834
15/07/2024,Nocturna,12,637
15/07/2024,Nocturna,13,544
15/07/2024,Nocturna,14,489
15/07/2024,Nocturna,15,164
15/07/2024,Nocturna,16,425
15/07/2024,Nocturna,17,160
15/07/2024,Nocturna,18,083
15/07/2024,Nocturna,19,476
15/07/2024,Nocturna,20,856
